// 3目标 + 新拥挤距离 + fix/priori/assemble
start:
Enemy Loss average: 	95.8	Enemy Loss best: 	195	My Team Loss average: 	170.64	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	99.9	Enemy Loss best: 	195	My Team Loss average: 	142.46	My Team Loss best: 	16	 average: 	300	 best: 	300	
Enemy Loss average: 	98.6	Enemy Loss best: 	195	My Team Loss average: 	130.58	My Team Loss best: 	16	 average: 	300	 best: 	300	
Enemy Loss average: 	98.6	Enemy Loss best: 	195	My Team Loss average: 	118.88	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	97.2	Enemy Loss best: 	195	My Team Loss average: 	108.92	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	100.7	Enemy Loss best: 	195	My Team Loss average: 	109.58	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	123.6	Enemy Loss best: 	255	My Team Loss average: 	114.48	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	120	Enemy Loss best: 	255	My Team Loss average: 	99.62	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	117.1	Enemy Loss best: 	255	My Team Loss average: 	93.16	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	125.7	Enemy Loss best: 	255	My Team Loss average: 	98.74	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	130.7	Enemy Loss best: 	255	My Team Loss average: 	99.8	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	132	Enemy Loss best: 	255	My Team Loss average: 	96.32	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	139	Enemy Loss best: 	275	My Team Loss average: 	84.28	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	148	Enemy Loss best: 	275	My Team Loss average: 	87.3	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	156.9	Enemy Loss best: 	275	My Team Loss average: 	89.78	My Team Loss best: 	0	 average: 	300	 best: 	300	
